setting,O1,O10,O1 Central Wavelength,O2 Central Wavelength,O3 Central Wavelength,O4 Central Wavelength,O5 Central Wavelength,O6 Central Wavelength,O7 Central Wavelength,O8 Central Wavelength,O9 Central Wavelength,O10 Central Wavelength,O1 Central Y Det1,O2 Central Y Det1,O3 Central Y Det1,O4 Central Y Det1,O5 Central Y Det1,O6 Central Y Det1,O7 Central Y Det1,O8 Central Y Det1,O9 Central Y Det1,O10 Central Y Det1,O1 Central Y Det2,O2 Central Y Det2,O3 Central Y Det2,O4 Central Y Det2,O5 Central Y Det2,O6 Central Y Det2,O7 Central Y Det2,O8 Central Y Det2,O9 Central Y Det2,O10 Central Y Det2,O1 Central Y Det3,O2 Central Y Det3,O3 Central Y Det3,O4 Central Y Det3,O5 Central Y Det3,O6 Central Y Det3,O7 Central Y Det3,O8 Central Y Det3,O9 Central Y Det3,O10 Central Y Det3,O1 Blaze Wavelength,O2 Blaze Wavelength,O3 Blaze Wavelength,O4 Blaze Wavelength,O5 Blaze Wavelength,O6 Blaze Wavelength,O7 Blaze Wavelength,O8 Blaze Wavelength,O9 Blaze Wavelength,O10 Blaze Wavelength,O1 FSR min,O2 FSR min,O3 FSR min,O4 FSR min,O5 FSR min,O6 FSR min,O7 FSR min,O8 FSR min,O9 FSR min,O10 FSR min,O1 FSR max,O2 FSR max,O3 FSR max,O4 FSR max,O5 FSR max,O6 FSR max,O7 FSR max,O8 FSR max,O9 FSR max,O10 FSR max,O1 BEG DET1,O2 BEG DET1,O3 BEG DET1,O4 BEG DET1,O5 BEG DET1,O6 BEG DET1,O7 BEG DET1,O8 BEG DET1,O9 BEG DET1,O10 BEG DET1,O1 END DET1,O2 END DET1,O3 END DET1,O4 END DET1,O5 END DET1,O6 END DET1,O7 END DET1,O8 END DET1,O9 END DET1,O10 END DET1,O1 BEG DET2,O2 BEG DET2,O3 BEG DET2,O4 BEG DET2,O5 BEG DET2,O6 BEG DET2,O7 BEG DET2,O8 BEG DET2,O9 BEG DET2,O10 BEG DET2,O1 END DET2,O2 END DET2,O3 END DET2,O4 END DET2,O5 END DET2,O6 END DET2,O7 END DET2,O8 END DET2,O9 END DET2,O10 END DET2,O1 BEG DET3,O2 BEG DET3,O3 BEG DET3,O4 BEG DET3,O5 BEG DET3,O6 BEG DET3,O7 BEG DET3,O8 BEG DET3,O9 BEG DET3,O10 BEG DET3,O1 END DET3,O2 END DET3,O3 END DET3,O4 END DET3,O5 END DET3,O6 END DET3,O7 END DET3,O8 END DET3,O9 END DET3
L/4/7,13,22,-1.000,4056.312,3785.891,3549.273,3340.492,3154.909,2988.862,2839.419,-1.000,-1.000,-100.1,299.6,658.0,971.1,1246.9,1492.2,1713.5,2018.4,-100.1,-100.1,16.4,315.9,676.8,991.8,1269.5,1516.2,1737.8,-100.1,-100.1,-100.1,25.5,331.8,695.2,1012.6,1292.2,1540.8,1763.8,-100.1,-100.1,-100.1,4358.535,4047.211,3777.397,3541.310,3332.997,3147.831,2982.156,2833.048,2698.141,2575.498,4234.005,3937.827,3680.541,3454.936,3255.486,3077.879,2918.705,2775.230,2645.236,2526.904,4490.612,4162.846,3879.489,3632.113,3414.290,3221.036,3048.426,2893.325,2753.205,2625.998,4322.573,4014.270,3746.959,3512.973,3306.454,3122.841,2958.526,2810.627,2675.878,2554.247,4351.329,4040.969,3771.875,3536.328,3328.433,3143.596,2978.186,2829.301,2693.680,2571.240,4353.456,4042.820,3773.600,3537.944,3329.952,3145.028,2979.541,2829.648,2694.903,2572.407,4380.823,4068.230,3797.313,3560.171,3350.869,3164.780,2998.251,2847.438,2711.845,2588.580,4382.766,4070.039,3798.397,3561.284,3352.059,3166.001,2999.474,2849.562,2713.041,2589.721,4408.724,4094.140,3820.894,3582.372,3371.903,3184.740,3017.224,2866.422,2729.111
L/5/7,13,22,-1.000,4009.827,3742.505,3508.599,3302.210,3118.754,2954.609,2806.879,-1.000,-1.000,43.9,367.7,721.8,1030.9,1303.6,1546.0,1763.7,-100.1,-100.1,-100.1,50.9,382.7,739.3,1050.6,1325.0,1569.0,1789.3,-100.1,-100.1,-100.1,67.0,397.3,756.5,1070.2,1346.7,1592.6,1814.0,-100.1,-100.1,-100.1,4332.090,4022.655,3754.478,3519.823,3312.774,3128.731,2964.061,2815.858,2681.770,2559.871,4208.316,3913.934,3658.209,3433.973,3235.733,3059.204,2900.996,2758.392,2629.186,2511.572,4463.365,4137.588,3855.950,3610.075,3393.574,3201.493,3029.929,2875.770,2736.500,2610.065,4270.786,3966.079,3701.966,3470.782,3266.739,3085.327,2922.983,2775.889,2643.704,2523.536,4300.750,3993.900,3727.929,3495.120,3289.642,3106.955,2943.471,2795.367,2662.254,2541.243,4302.820,3995.828,3729.728,3496.804,3291.225,3108.449,2944.884,2796.707,2663.530,2542.461,4331.414,4022.377,3754.503,3520.028,3313.080,3129.087,2964.433,2815.294,2681.232,2559.358,4333.455,4024.267,3756.266,3521.679,3314.632,3130.550,2965.818,2816.607,2682.483,2560.552,4360.656,4049.522,3779.834,3543.771,3335.421,3150.182,2984.414,2834.289,2699.323
L/6/7,13,22,-1.000,3961.170,3697.092,3466.023,3262.140,3080.910,2918.757,2772.819,-1.000,-1.000,85.1,438.6,788.0,1093.3,1362.5,1602.3,1817.2,-100.1,-101.0,-100.1,90.6,452.3,804.3,1111.8,1382.9,1623.9,1840.8,-100.1,-100.1,-100.1,96.6,465.5,820.4,1130.3,1403.6,1646.6,1864.8,-100.1,-100.1,-100.1,4304.491,3997.028,3730.559,3497.399,3291.670,3108.799,2945.178,2797.919,2664.685,2543.563,4181.506,3889.000,3634.904,3412.097,3215.119,3039.715,2882.515,2740.819,2612.436,2495.571,4434.930,4111.228,3831.385,3587.076,3371.954,3181.097,3010.627,2857.450,2719.066,2593.437,4216.551,3915.740,3654.969,3426.712,3225.255,3046.143,2885.858,2740.603,2610.097,2491.457,4247.708,3944.668,3681.965,3452.019,3249.070,3068.632,2907.162,2760.856,2629.386,2509.869,4249.860,3946.673,3683.836,3453.771,3250.717,3070.186,2908.632,2762.251,2630.715,2511.137,4279.665,3974.346,3709.660,3477.978,3273.497,3091.699,2929.010,2781.625,2649.166,2528.750,4281.782,3976.316,3711.498,3479.700,3275.116,3093.225,2930.454,2782.996,2650.472,2529.996,4310.211,4002.712,3736.131,3502.790,3296.845,3113.744,2949.891,2801.476,2668.072
L/7/7,13,22,-1.000,3939.658,3677.014,3447.201,3244.424,3064.179,2902.906,2757.761,-1.000,-1.000,100.9,469.5,816.9,1120.5,1388.2,1626.5,1860.3,-100.1,-100.1,-100.1,107.6,482.7,832.7,1138.5,1408.1,1647.9,1869.6,-100.1,-100.1,-100.1,113.3,495.4,848.3,1156.6,1428.4,1670.1,1888.8,-100.1,-100.1,-100.1,4292.314,3985.720,3720.006,3487.505,3282.358,3100.005,2936.847,2790.004,2657.147,2536.367,4169.677,3877.998,3624.621,3402.444,3206.024,3031.116,2874.360,2733.065,2605.046,2488.511,4422.384,4099.598,3820.546,3576.929,3362.415,3172.098,3002.110,2849.366,2711.374,2586.100,4192.604,3893.515,3634.219,3407.256,3206.939,3028.843,2869.470,2725.025,2595.262,2477.295,4224.267,3922.913,3661.654,3432.973,3231.141,3051.698,2891.120,2745.606,2614.863,2496.006,4226.457,3924.950,3663.555,3434.754,3232.816,3053.278,2892.613,2747.025,2616.214,2497.295,4256.775,3953.100,3689.825,3459.379,3255.989,3075.161,2913.342,2766.733,2634.984,2515.212,4258.929,3955.105,3691.695,3461.131,3257.637,3076.715,2914.812,2768.128,2636.313,2516.480,4287.880,3981.985,3716.780,3484.644,3279.764,3097.611,2934.605,2786.948,2654.236
M/1/9,9,18,-1.000,5874.085,5340.078,4895.071,4518.527,4195.775,3916.057,3671.303,-1.000,-1.000,-100.1,-100.1,266.6,668.0,1008.6,1301.1,1555.3,1778.3,1967.5,-100.1,-100.1,-100.1,291.9,695.5,1037.7,1331.6,1586.9,1811.2,1984.1,-100.1,-100.1,-100.1,316.4,722.3,1066.9,1359.2,1619.0,1844.9,1997.4,-100.1,6411.134,5770.021,5245.473,4808.351,4438.478,4121.443,3846.681,3606.263,3394.130,3205.567,6173.685,5571.055,5076.265,4662.643,4311.664,4010.053,3748.048,3518.305,3315.197,3134.332,6667.580,5983.725,5426.352,4963.459,4572.977,4239.199,3950.645,3698.731,3476.914,3280.115,6470.804,5823.723,5294.680,4853.737,4480.512,4160.532,3883.171,3640.452,3426.272,3235.402,6506.341,5855.707,5323.750,4880.379,4505.100,4183.360,3904.473,3660.419,3445.062,3253.171,6508.770,5857.893,5325.759,4882.215,4506.788,4184.922,3905.927,3661.778,3446.342,3254.385,6542.226,5888.003,5353.127,4907.295,4529.934,4206.410,3925.979,3680.573,3464.029,3271.113,6544.573,5890.116,5355.067,4909.068,4531.565,4207.919,3927.382,3681.885,3465.266,3272.286,6575.920,5918.328,5380.709,4932.566,4553.251,4228.051,3946.168,3699.493,3481.837
M/2/9,9,18,-1.000,5855.316,5323.015,4879.430,4504.089,4182.369,3903.544,3659.573,-1.000,-1.000,-100.1,-100.1,284.4,684.7,1024.2,1315.8,1569.1,1791.4,-100.1,-100.1,-100.1,-100.1,309.4,711.7,1052.9,1345.9,1600.5,1823.9,-100.1,-100.1,-100.1,-100.1,333.6,738.2,1081.6,1375.6,1632.1,1857.1,-100.1,-100.1,6399.964,5759.968,5236.334,4799.973,4430.744,4114.263,3839.978,3599.980,3388.216,3199.982,6162.928,5561.348,5067.420,4654.519,4304.152,4003.066,3741.517,3512.175,3309.421,3128.871,6655.963,5973.300,5416.897,4954.811,4565.009,4231.813,3943.762,3692.287,3470.856,3274.400,6448.937,5804.043,5276.806,4837.349,4465.383,4146.482,3870.057,3628.157,3414.143,3224.468,6485.113,5836.602,5306.399,4864.470,4490.412,4169.720,3891.742,3648.483,3433.295,3242.556,6487.587,5838.828,5308.445,4866.339,4492.132,4171.311,3893.223,3649.867,3434.605,3243.793,6521.689,5869.520,5336.340,4891.904,4515.725,4193.215,3913.662,3669.026,3452.659,3260.844,6524.083,5871.674,5338.319,4893.712,4517.388,4194.754,3915.094,3670.364,3453.926,3262.041,6556.083,5900.475,5364.494,4917.699,4539.525,4215.305,3934.271,3688.340,3470.867
M/3/9,9,18,-1.000,5799.554,5272.322,4832.962,4461.195,4142.538,3866.369,3624.721,-1.000,-1.000,-100.1,-100.1,337.9,734.3,1070.4,1359.2,1610.2,1830.3,-100.1,-100.1,-100.1,-100.1,361.6,760.2,1098.1,1388.4,1640.6,1862.1,-100.1,-100.1,-100.1,-100.1,384.6,785.7,1125.7,1417.8,1671.6,1894.4,-100.1,-100.1,6366.876,5730.188,5209.262,4775.157,4407.837,4092.991,3820.125,3581.367,3370.699,3183.438,6131.065,5532.595,5041.221,4630.455,4281.899,3982.370,3722.173,3494.017,3292.310,3112.695,6621.551,5942.417,5388.892,4929.194,4541.408,4209.934,3923.372,3673.197,3452.911,3257.471,6384.107,5745.696,5223.815,4788.762,4420.526,4104.826,3831.176,3591.705,3379.821,3192.053,6422.094,5779.885,5254.889,4817.241,4446.809,4129.227,3853.947,3613.050,3399.932,3211.047,6424.696,5782.227,5257.038,4819.205,4448.617,4130.901,3855.504,3614.506,3401.310,3212.348,6460.631,5814.568,5286.433,4846.144,4473.479,4153.982,3877.043,3634.696,3420.334,3230.316,6463.159,5816.843,5288.519,4848.051,4475.234,4155.607,3878.555,3636.109,3421.672,3231.579,6497.013,5847.312,5316.211,4873.429,4498.654,4177.350,3898.845,3655.127,3439.595
M/4/9,9,18,-1.000,5740.650,5218.773,4783.875,4415.885,4100.464,3827.100,3587.906,-1.000,-1.000,-100.1,-100.1,393.3,785.6,1118.3,1404.2,1652.5,1870.5,-100.1,-100.1,-100.1,68.0,415.9,810.5,1145.1,1432.5,1682.2,1901.5,-100.1,-100.1,-100.1,79.3,437.7,834.9,1171.8,1461.1,1712.5,1932.4,-100.1,-100.1,6332.063,5698.856,5180.778,4749.047,4383.736,4070.612,3799.238,3561.785,3352.268,3166.031,6097.542,5502.344,5013.657,4605.136,4258.486,3960.595,3701.821,3474.912,3274.309,3095.675,6585.345,5909.925,5359.426,4902.242,4516.576,4186.915,3901.920,3653.113,3434.031,3239.660,6315.819,5684.237,5167.995,4737.582,4373.276,4060.946,3790.220,3553.308,3343.669,3157.910,6355.597,5720.037,5200.534,4767.403,4400.798,4086.499,3814.065,3575.659,3364.728,3177.798,6358.326,5722.702,5202.785,4769.461,4402.693,4088.253,3815.698,3577.187,3366.172,3179.163,6396.074,5756.674,5233.663,4797.760,4428.810,4112.501,3838.325,3598.396,3386.157,3198.037,6398.734,5759.081,5235.856,4799.765,4430.656,4114.210,3839.916,3599.884,3387.565,3199.367,6434.424,5791.199,5265.049,4826.520,4455.347,4137.133,3861.307,3619.935,3406.460
M/5/9,9,18,-1.000,5678.637,5162.397,4732.197,4368.182,4056.169,3785.758,3549.148,-1.000,-1.000,-100.1,84.5,450.9,839.0,1168.0,1450.8,1696.5,1912.0,-100.1,-100.1,-100.1,94.0,472.3,862.8,1193.8,1478.3,1725.4,1942.1,-100.1,-100.1,-100.1,117.8,493.0,886.2,1219.6,1506.0,1754.9,1960.6,-100.1,-100.1,6295.544,5665.990,5150.900,4721.658,4358.454,4047.135,3777.326,3541.244,3332.935,3147.772,6062.376,5470.611,4984.742,4578.578,4233.926,3937.753,3680.472,3454.872,3255.425,3077.822,6547.366,5875.841,5328.517,4873.970,4490.528,4162.768,3879.416,3632.045,3414.226,3220.976,6244.110,5619.932,5109.377,4683.836,4323.657,4014.868,3747.211,3512.986,3305.705,3122.055,6285.657,5657.322,5143.363,4714.984,4352.404,4041.557,3772.117,3536.332,3327.701,3142.828,6288.511,5659.902,5145.714,4717.135,4354.385,4043.392,3773.825,3537.930,3329.212,3144.256,6328.053,5695.487,5178.059,4746.778,4381.743,4068.792,3797.528,3560.148,3350.146,3164.027,6330.844,5698.025,5180.357,4748.880,4383.679,4070.584,3799.197,3561.712,3351.623,3165.422,6368.350,5731.778,5211.036,4776.996,4409.626,4094.675,3821.678,3582.784,3371.479
M/6/9,9,18,-1.000,5613.548,5103.225,4677.957,4318.114,4009.677,3742.365,3508.467,-1.000,-1.000,-100.1,127.2,513.7,896.3,1216.2,1499.4,1745.5,1958.7,-100.1,-100.1,-100.1,127.3,534.0,918.3,1246.5,1526.1,1773.7,1975.5,-100.1,-100.1,-100.1,141.6,553.7,940.5,1270.1,1553.2,1802.4,1984.2,-100.1,-100.1,6257.340,5631.606,5119.642,4693.005,4332.004,4022.576,3754.404,3519.754,3312.709,3128.670,6025.586,5437.412,4954.492,4550.793,4208.233,3913.857,3658.137,3433.906,3235.670,3059.144,6507.633,5840.184,5296.181,4844.392,4463.277,4137.506,3855.874,3610.004,3393.507,3201.430,6169.019,5552.403,5047.995,4627.555,4271.696,3966.615,3702.172,3470.761,3265.951,3084.510,6212.312,5591.363,5083.408,4660.012,4301.652,3994.426,3728.126,3495.089,3288.871,3106.156,6215.290,5594.043,5085.860,4662.254,4303.719,3996.341,3729.908,3496.759,3290.448,3107.645,6256.604,5631.223,5119.653,4693.226,4332.303,4022.879,3754.674,3519.974,3312.320,3128.302,6259.524,5633.866,5122.056,4695.424,4334.327,4024.755,3756.420,3521.613,3313.866,3129.762,6298.826,5669.235,5154.203,4724.887,4361.518,4049.999,3779.978,3543.695,3334.673
M/7/9,9,18,-1.000,5545.418,5041.289,4621.182,4265.706,3961.013,3696.945,3465.886,-1.000,-1.000,-100.1,130.8,580.4,959.2,1267.6,1556.4,1796.7,1983.6,-100.1,-100.1,-100.1,143.3,599.4,981.0,1297.5,1582.1,1823.9,1997.2,-100.1,-100.1,-100.1,181.2,617.9,1002.4,1325.3,1608.2,1851.9,2003.4,-100.1,-100.1,6217.470,5595.723,5087.021,4663.103,4304.403,3996.945,3730.482,3497.327,3291.602,3108.735,5987.194,5402.767,4922.924,4521.797,4181.420,3888.920,3634.829,3412.026,3215.053,3039.652,6466.169,5802.972,5262.436,4813.525,4434.839,4111.144,3831.306,3587.002,3371.885,3181.031,6090.587,5481.819,4983.880,4568.769,4217.422,3916.214,3655.129,3426.660,3224.428,3045.293,6135.603,5522.331,5020.702,4602.518,4248.570,3945.133,3682.116,3451.958,3248.260,3067.801,6138.703,5525.135,5023.252,4604.851,4250.721,3947.125,3683.971,3453.697,3249.902,3069.352,6181.766,5563.889,5058.476,4637.134,4280.516,3974.788,3709.786,3477.896,3272.700,3090.883,6184.814,5566.674,5060.982,4639.427,4282.629,3976.745,3711.609,3479.607,3274.313,3092.407,6225.891,5603.639,5094.580,4670.220,4311.048,4003.130,3736.231,3502.688,3296.060
M/8/9,9,18,-1.000,5474.285,4976.623,4561.904,4210.988,3910.203,3649.523,3421.428,-1.000,-1.000,-100.1,197.1,644.6,1018.4,1335.7,1608.3,1845.3,-100.1,-100.1,-100.1,-100.1,211.8,662.5,1039.2,1357.9,1632.9,1871.9,-100.1,-100.1,-100.1,-100.1,225.4,680.0,1059.8,1376.6,1658.3,1899.0,-100.1,-100.1,-100.1,6175.957,5558.362,5053.056,4631.968,4275.663,3970.258,3705.574,3473.976,3269.625,3087.979,5947.218,5366.694,4890.054,4491.605,4153.501,3862.954,3610.560,3389.245,3193.587,3019.357,6422.996,5764.227,5227.299,4781.386,4405.228,4083.694,3805.725,3563.052,3349.371,3159.792,6008.855,5408.339,4917.061,4507.507,4160.867,3863.692,3606.106,3379.981,3181.159,3004.428,6055.570,5450.378,4955.273,4542.528,4193.190,3893.702,3634.112,3406.258,3205.890,3027.785,6058.791,5453.293,4957.920,4544.951,4195.423,3895.772,3636.040,3408.070,3207.595,3029.395,6103.580,5493.600,4994.556,4578.528,4226.413,3924.543,3662.890,3433.264,3231.307,3051.790,6106.754,5496.470,4997.163,4580.915,4228.611,3926.581,3664.788,3435.049,3232.987,3053.377,6149.583,5535.012,5032.195,4613.021,4258.243,3954.092,3690.461,3459.141,3255.662
M/9/9,9,18,-1.000,5442.889,4948.081,4535.741,4186.838,3887.778,3628.593,3401.806,-1.000,-1.000,-100.1,227.5,672.4,1044.2,1359.7,1630.8,1866.5,-100.1,-100.1,-100.1,-100.1,241.6,690.0,1064.4,1382.2,1655.2,1892.6,-100.1,-100.1,-100.1,-100.1,254.9,707.0,1084.7,1397.9,1680.0,1919.3,-100.1,-100.1,-100.1,6157.669,5541.902,5038.092,4618.251,4263.001,3958.501,3694.601,3463.689,3259.942,3078.834,5929.607,5350.802,4875.573,4478.304,4141.201,3851.515,3599.868,3379.208,3184.130,3010.416,6403.975,5747.157,5211.820,4767.227,4392.183,4071.601,3794.455,3552.501,3339.453,3150.435,5973.359,5376.172,4887.494,4480.156,4135.428,3839.917,3583.792,3360.014,3162.367,2986.679,6020.798,5418.861,4926.293,4515.715,4168.245,3870.385,3612.224,3386.699,3187.481,3010.399,6024.070,5421.810,4928.969,4518.162,4170.499,3872.473,3614.169,3388.540,3189.214,3012.035,6069.596,5462.777,4966.203,4552.286,4201.992,3901.711,3641.453,3414.148,3213.316,3034.798,6072.824,5465.684,4968.841,4554.698,4204.217,3903.768,3643.368,3415.963,3215.024,3036.412,6116.401,5504.897,5004.480,4587.360,4234.360,3931.753,3669.483,3440.476,3238.095
